Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","121072.306"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","122251.351"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","123400.057"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","124573.711"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","125762.983"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","126799.055"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","127648.148"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","128613.117"
"Annual population","Mexico","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","129739.759"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","1602.17"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","1646.103"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","1689.264"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","1732.745"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","1776.368"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","1818.647"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","1857.048"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","1889.97"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","1917.464"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","1942.082"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","1966.582"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","1991.888"
"Annual population","Namibia","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","2018.6"
